official_pinyin,official_Chinese,official_translation,Institution 1,Institution 2,Institution 3
jun wang dian yi,郡王典儀,,皇族宮廷類,宗室門,郡王府
jun wang dian yin,郡王典印,,皇族宮廷類,宗室門,郡王府
jun wang dian zhuan,郡王典饌,,皇族宮廷類,宗室門,郡王府
jun wang fu dian shan,郡王府典膳,,皇族宮廷類,宗室門,郡王府
jun wang fu jiao shou,郡王府教授,,皇族宮廷類,宗室門,郡王府
jun wang ji shi,郡王記室,,皇族宮廷類,宗室門,郡王府
jun wang jiao shou,郡王教授,,皇族宮廷類,宗室門,郡王府
jun wang yin li she ren,郡王引禮舍人,,皇族宮廷類,宗室門,郡王府
jun wang zhi shi,郡王直史,,皇族宮廷類,宗室門,郡王府
wang wu fu,王武傅,Princely Military Mentor,皇族宮廷類,宗室門,郡王府
wang zuo xiang,王左相,Left Princely Minister,皇族宮廷類,宗室門,郡王府
fu ma du wei,駙馬都尉,,皇族宮廷類,宗室門,
ji shan,紀善,Moral Mentor,皇族宮廷類,宗室門,
jun jun ,郡君,,皇族宮廷類,宗室門,
jun zhu,郡主,,皇族宮廷類,宗室門,
wang fei,王妃,Princely Consort,皇族宮廷類,宗室門,
wang shi zi,王世子,Princely Heir,皇族宮廷類,宗室門,
xian jun,縣君,,皇族宮廷類,宗室門,
xian zhu,縣主,,皇族宮廷類,宗室門,
xiang jun,鄉君,,皇族宮廷類,宗室門,
zhang gong zhu ,長公主,,皇族宮廷類,宗室門,
da zhang gong zhu,大長公主,,皇族宮廷類,宗室門,
gong zhu,公主,,皇族宮廷類,宗室門,
shen li,審理,Disciplinary Office,皇族宮廷類,宗室門,
shi sun,世孫,Grandson-heir,皇族宮廷類,宗室門,
shi zi,世子,Heir,皇族宮廷類,宗室門,
shi zi fei,世子妃,Consort of the Heir,皇族宮廷類,宗室門,
yi bin,儀賓,,皇族宮廷類,宗室門,
chun gong men fu guan zheng,春宮門副官正,,皇族宮廷類,宦官門,內使監
chun gong men guan zheng,春宮門官正,,皇族宮廷類,宦官門,內使監
juan jie feng yu,涓潔奉御,,皇族宮廷類,宦官門,內使監
nei shi jian dian bu ,內使監典簿,,皇族宮廷類,宦官門,內使監
nei shi jian feng yu,內使監奉御,,皇族宮廷類,宦官門,內使監
nei shi jian jian cheng,內使監監丞,,皇族宮廷類,宦官門,內使監
nei shi jian jian ling,內使監監令,,皇族宮廷類,宦官門,內使監
shang bao jian shou dian feng yu,尚寶兼守殿奉御,,皇族宮廷類,宦官門,內使監
shang guan feng yu,尚冠奉御,,皇族宮廷類,宦官門,內使監
shang lv feng yu,尚履奉御,,皇族宮廷類,宦官門,內使監
shang pei feng yu,尚佩奉御,,皇族宮廷類,宦官門,內使監
shang yao feng yu,尚藥奉御,,皇族宮廷類,宦官門,內使監
shang yi feng yu,尚衣奉御,,皇族宮廷類,宦官門,內使監
si pu feng yu,司脯奉御,,皇族宮廷類,宦官門,內使監
si xiang feng yu,司香奉御,,皇族宮廷類,宦官門,內使監
tai miao si xiang feng yu,太廟司香奉御,,皇族宮廷類,宦官門,內使監
zhi shan feng yu,執膳奉御,,皇族宮廷類,宦官門,內使監
nei cang jian cheng,內倉監丞,,皇族宮廷類,宦官門,內倉監
nei cang jian ling,內倉監令,,皇族宮廷類,宦官門,內倉監
nei shi jian dian bu ,內史監典簿,,皇族宮廷類,宦官門,內史監
nei shi jian feng yu,內史監奉御,,皇族宮廷類,宦官門,內史監
nei shi jian jian cheng,內史監監丞,,皇族宮廷類,宦官門,內史監
nei shi jian jian ling,內史監監令,,皇族宮廷類,宦官門,內史監
nei shi jian nei shi,內史監內史,,皇族宮廷類,宦官門,內史監
nei guan jian dian bu tai jian,内官監典簿太監,,皇族宮廷類,宦官門,內官監
nei guan jian guan li tai jian,内官監管理太監,,皇族宮廷類,宦官門,內官監
nei guan jian jian gong tai jian,内官監監工太監,,皇族宮廷類,宦官門,內官監
nei guan jian qian shu tai jian,内官監僉書太監,,皇族宮廷類,宦官門,內官監
nei guan jian zhang yin tai jian,内官監掌印太監,,皇族宮廷類,宦官門,內官監
nei guan jian xie zi tai jian,内官監寫字太監,,皇族宮廷類,宦官門,內官監
nei guan jian zhang si tai jian,内官監掌司太監,,皇族宮廷類,宦官門,內官監
nei guan jian zong li tai jian,内官監總理太監,,皇族宮廷類,宦官門,內官監
nei fu ku da shi,內府庫大使,,皇族宮廷類,宦官門,內府庫
nei fu ku fu shi,內府庫副使,,皇族宮廷類,宦官門,內府庫
nei zhi ran ju guan li tai jian,內織染局管理太監,,皇族宮廷類,宦官門,內織染局
nei zhi ran ju qian shu tai jian,內織染局僉書太監,,皇族宮廷類,宦官門,內織染局
nei zhi ran ju zhang yin tai jian,內織染局掌印太監,,皇族宮廷類,宦官門,內織染局
bing zhang ju guan li tai jian,兵仗局管理太監,,皇族宮廷類,宦官門,兵仗局
bing zhang ju jian gong tai jian,兵仗局監工太監,,皇族宮廷類,宦官門,兵仗局
bing zhang ju qian shu tai jian,兵仗局僉書太監,,皇族宮廷類,宦官門,兵仗局
bing zhang ju ti du tai jian,兵仗局提督太監,,皇族宮廷類,宦官門,兵仗局
bing zhang ju xie zi tai jian,兵仗局寫字太監,,皇族宮廷類,宦官門,兵仗局
bing zhang ju zhang si tai jian,兵仗局掌司太監,,皇族宮廷類,宦官門,兵仗局
bing zhang ju zhang yin tai jian,兵仗局掌印太監,,皇族宮廷類,宦官門,兵仗局
yin shou jian qian shu tai jian,印綬監僉書太監,,皇族宮廷類,宦官門,印綬監
yin shou jian zhang si tai jian,印綬監掌司太監,,皇族宮廷類,宦官門,印綬監
